Temp_C,Rel Hum_%,Press_kPa,Wind Speed_km/h,weather
-9.8,65,101.13,24,Cloudy
-9.4,64,101.08,26,Cloudy
-9,63,101.02,33,Cloudy
-8.5,64,100.93,22,Cloudy
-8,64,100.81,30,Cloudy
-7.6,65,100.76,28,Cloudy
-5,83,99.13,24,Cloudy
-5.1,82,99.06,20,Cloudy
-5.4,83,98.94,22,Cloudy
-5.1,82,98.84,22,Cloudy
-5.1,83,98.69,26,Rainy
-5,84,98.56,32,Rainy
-4.8,83,98.22,28,Rainy
-14.3,63,100.39,24,Cloudy
-15.2,63,100.6,24,Cloudy
-16.8,63,100.73,26,Cloudy
-17.9,62,100.84,20,Cloudy
-18,61,100.97,19,Cloudy
-18,60,101.08,22,Cloudy
-17.8,59,101.14,20,Cloudy
-17.5,58,101.16,20,Cloudy
-16.7,56,101.2,17,Cloudy
-16.7,56,101.24,22,Cloudy
-16.7,52,101.3,19,Cloudy
-17.4,54,101.36,13,Cloudy
-20,59,101.65,11,Cloudy
-19.9,58,101.74,13,Cloudy
-20.3,59,101.79,9,Cloudy
-21.2,61,101.81,11,Cloudy
-21.1,61,101.86,9,Cloudy
-21.4,63,101.99,9,Cloudy
-20.7,62,102.04,4,Cloudy
-21,61,102.12,0,Cloudy
-21.3,63,102.19,6,Cloudy
-23.2,62,102.28,7,Cloudy
-17.9,67,102.9,9,Cloudy
-14.4,59,102.75,22,Cloudy
-13.6,65,102.62,19,Cloudy
-12.7,66,102.44,20,Cloudy
-10.7,60,102.17,19,Cloudy
-10.1,61,101.92,13,Cloudy
-9,68,101.71,13,Cloudy
-8,63,101.49,17,Cloudy
-7.1,57,101.41,9,Cloudy
-7.6,56,101.34,4,Cloudy
-14,70,101.19,13,Cloudy
-12.9,71,101.12,11,Cloudy
-12.2,70,101.05,9,Cloudy
-11.5,71,100.98,7,Cloudy
-10.8,71,100.94,9,Cloudy
-10.4,71,100.88,9,Cloudy
-9.7,73,100.84,9,Cloudy
-9.2,73,100.84,6,Cloudy
-3.6,85,98.98,24,Rainy
-2.9,86,98.71,26,Rainy
-1.6,89,98.47,17,Rainy
-0.6,90,98.32,7,Rainy
2.1,90,98.31,11,Foggy
3.7,66,98.36,83,Cloudy
0.5,72,98.62,70,Cloudy
-3.5,70,99,57,Cloudy
-8.5,65,100,39,Cloudy
-11,62,101.56,26,Cloudy
-8.8,59,101.42,15,Cloudy
-7.3,55,101.22,20,Cloudy
-7,53,101.03,20,Cloudy
-6.7,52,100.88,26,Cloudy
-6.7,52,100.76,24,Cloudy
-6.9,54,100.7,17,Cloudy
-5,54,100.66,19,Cloudy
-4.1,71,100.5,26,Cloudy
-4.8,67,100.75,19,Cloudy
-7.6,59,101.13,28,Cloudy
-8.6,57,101.27,28,Cloudy
-17.4,54,102.37,6,Cloudy
-16.4,53,102.29,6,Cloudy
-16.1,52,102.26,0,Cloudy
-15.3,53,102.27,0,Cloudy
-15.9,60,102.23,7,Cloudy
-15.3,58,102.18,7,Cloudy
-14.8,50,102.08,11,Cloudy
-14.3,52,101.98,9,Cloudy
-13.9,50,102.04,9,Cloudy
-14,52,102.06,9,Cloudy
-14.6,62,102.03,15,Cloudy
-18.4,67,102.75,0,Cloudy
-19,71,102.85,6,Foggy
-16.2,78,103.01,7,Cloudy
-14.5,80,103.02,9,Foggy
-13,81,103.04,6,Foggy
-9.4,65,102.74,9,Cloudy
-8.7,63,102.65,9,Cloudy
-8,59,102.6,6,Cloudy
-9.5,60,102.57,19,Cloudy
-10.4,63,102.52,19,Cloudy
-10.4,62,102.47,19,Cloudy
-13.2,73,102.33,13,Cloudy
-12.9,71,102.22,11,Cloudy
-13.2,72,102.1,13,Cloudy
-12.1,73,101.99,13,Cloudy
-11.2,72,101.88,11,Cloudy
-9.9,73,101.79,11,Cloudy
-8.8,73,101.76,7,Cloudy
-8.1,73,101.67,13,Cloudy
-7.2,74,101.69,11,Cloudy
-4.9,72,101.59,11,Cloudy
-3.6,72,101.58,9,Cloudy
1.2,72,101.49,11,Cloudy
2.3,71,101.33,6,Cloudy
2.5,75,101.14,22,Cloudy
2.7,76,101.01,26,Rainy
2.7,77,100.86,30,Rainy
3.1,78,100.71,28,Cloudy
3.1,78,100.61,28,Rainy
3,88,100.54,19,Rainy
3.2,88,100.43,22,Rainy
3.6,91,100.1,28,Cloudy
4,90,100.08,22,Cloudy
3.5,92,100.04,17,Rainy
3.1,92,100.04,19,Cloudy
3.1,93,100.09,9,Rainy
5,91,100.19,19,Rainy
4.2,81,100.25,30,Cloudy
3.7,76,100.37,41,Cloudy
3.4,75,100.45,28,Cloudy
2.9,75,100.49,26,Cloudy
3,71,100.52,28,Cloudy
2.9,71,100.6,30,Cloudy
3,70,100.65,35,Cloudy
3.1,70,100.7,33,Cloudy
3.2,67,100.72,30,Cloudy
2.8,69,100.73,39,Cloudy
2.4,71,100.75,35,Rainy
1.7,74,100.82,30,Cloudy
1.3,72,101.06,19,Cloudy
1.1,74,101.11,20,Cloudy
1.1,72,101.13,22,Cloudy
0.5,69,101.2,28,Cloudy
-0.1,68,101.26,22,Cloudy
-0.4,66,101.37,20,Cloudy
-0.5,65,101.45,24,Cloudy
-0.7,67,101.52,24,Cloudy
-1.7,64,101.58,33,Cloudy
-2.8,62,101.66,35,Cloudy
-3.9,63,101.79,37,Cloudy
-4.7,62,101.94,26,Cloudy
-5.2,62,102.05,28,Cloudy
-5.3,62,102.09,22,Cloudy
-5.3,60,102.14,19,Cloudy
-5,59,102.06,20,Cloudy
-4.4,59,101.96,19,Cloudy
-5.4,62,102.14,13,Cloudy
-4.9,59,102.07,7,Cloudy
-5.4,64,102.01,7,Cloudy
-5.5,64,101.99,0,Cloudy
-5.4,63,102.01,6,Cloudy
-5.9,64,101.99,6,Cloudy
-4,54,101.71,15,Cloudy
-3.4,49,101.6,11,Cloudy
-3,42,101.53,13,Cloudy
-3.8,52,101.52,19,Cloudy
-4.3,54,101.4,20,Cloudy
-4.7,49,101.28,24,Cloudy
-4.5,49,101.25,17,Cloudy
-0.8,86,99.61,22,Rainy
0.3,86,99.47,20,Rainy
0.7,86,99.34,17,Rainy
0.6,88,99.18,17,Rainy
-0.7,86,99.54,32,Cloudy
-1.3,82,99.75,19,Cloudy
-1.5,81,99.88,19,Cloudy
0.2,81,100.49,24,Cloudy
0.4,78,100.59,17,Cloudy
0.1,77,100.64,15,Cloudy
0.3,80,100.72,19,Cloudy
-1.7,76,100.79,9,Cloudy
-1.6,81,100.93,13,Cloudy
-1.1,78,100.94,13,Cloudy
-0.6,80,100.9,6,Cloudy
-0.3,80,100.74,7,Cloudy
0.9,72,100.58,4,Cloudy
1.2,71,100.48,9,Cloudy
1.2,70,100.28,15,Cloudy
1.4,69,100.14,22,Cloudy
1.2,71,100.16,11,Cloudy
1.6,69,100.08,9,Cloudy
2.3,73,99.85,37,Cloudy
1.2,81,99.87,52,Rainy
-2.2,63,100.81,32,Cloudy
-2.1,62,100.88,32,Cloudy
-1.8,61,100.87,24,Cloudy
0.5,50,100.7,33,Cloudy
0.4,54,100.63,19,Cloudy
0.2,56,100.65,17,Cloudy
0.7,51,100.67,20,Cloudy
-8.8,56,101.82,17,Cloudy
-7.7,57,101.86,19,Cloudy
-7.3,51,101.86,17,Cloudy
-7.4,51,101.9,13,Cloudy
-8.4,57,101.96,4,Cloudy
-7.8,55,101.98,4,Cloudy
-8.6,66,101.96,6,Cloudy
-7,62,101.92,7,Cloudy
-7.1,62,101.88,6,Cloudy
-9.7,70,101.54,19,Cloudy
-9.3,67,101.46,20,Cloudy
-7.1,77,101.02,20,Cloudy
-6.5,82,100.56,15,Rainy
-5.8,83,100.48,17,Rainy
-5.4,82,100.34,15,Rainy
-5.5,81,100.33,13,Rainy
-5.5,79,100.36,11,Cloudy
-5.7,80,100.36,15,Cloudy
-4.9,83,100.34,9,Rainy
-4.9,82,100.41,6,Rainy
-5.5,75,101.36,9,Cloudy
-8.2,65,101.87,17,Cloudy
-8.3,62,101.89,19,Cloudy
-8.1,66,101.86,13,Cloudy
-7.4,66,101.86,9,Cloudy
-6.7,66,101.85,9,Cloudy
-6.7,65,101.9,9,Cloudy
-6.6,67,101.94,11,Cloudy
-7.1,68,101.99,13,Cloudy
-7.7,68,102.08,7,Cloudy
-7,66,102.13,6,Cloudy
-8.9,73,102.22,4,Cloudy
-7.2,74,102.31,7,Cloudy
-9.7,80,102.33,4,Cloudy
-11.2,85,102.47,9,Foggy
-11.3,82,102.59,9,Cloudy
-10.6,80,102.62,9,Cloudy
-8.8,78,102.62,6,Cloudy
